contract,candle_end_utc,yes_ask,yes_bid,no_ask
KXBTC15M-26AUG210045-45,2026-08-21 04:38:00+00:00,0.928,0.927,0.0729999999999999
KXBTC15M-26AUG210045-45,2026-08-21 04:39:00+00:00,0.943,0.942,0.058
KXBTC15M-26AUG210045-45,2026-08-21 04:40:00+00:00,0.92,0.919,0.0809999999999999
KXBTC15M-26AUG210045-45,2026-08-21 04:41:00+00:00,0.921,0.92,0.0799999999999999
KXBTC15M-26AUG210045-45,2026-08-21 04:42:00+00:00,0.967,0.966,0.034
KXBTC15M-26AUG210045-45,2026-08-21 04:43:00+00:00,0.984,0.983,0.017
KXBTC15M-26AUG210045-45,2026-08-21 04:44:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210045-45,2026-08-21 04:45:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210100-00,2026-08-21 04:46:00+00:00,0.47,0.46,0.54
KXBTC15M-26AUG210100-00,2026-08-21 04:47:00+00:00,0.63,0.62,0.38
KXBTC15M-26AUG210100-00,2026-08-21 04:48:00+00:00,0.64,0.63,0.37
KXBTC15M-26AUG210100-00,2026-08-21 04:49:00+00:00,0.68,0.67,0.3299999999999999
KXBTC15M-26AUG210100-00,2026-08-21 04:50:00+00:00,0.61,0.6,0.4
KXBTC15M-26AUG210100-00,2026-08-21 04:51:00+00:00,0.65,0.64,0.36
KXBTC15M-26AUG210100-00,2026-08-21 04:52:00+00:00,0.6,0.59,0.41
KXBTC15M-26AUG210100-00,2026-08-21 04:53:00+00:00,0.61,0.6,0.4
KXBTC15M-26AUG210100-00,2026-08-21 04:54:00+00:00,0.7,0.69,0.31
KXBTC15M-26AUG210100-00,2026-08-21 04:55:00+00:00,0.88,0.87,0.13
KXBTC15M-26AUG210100-00,2026-08-21 04:56:00+00:00,0.926,0.925,0.0749999999999999
KXBTC15M-26AUG210100-00,2026-08-21 04:57:00+00:00,0.85,0.84,0.16
KXBTC15M-26AUG210100-00,2026-08-21 04:58:00+00:00,0.97,0.969,0.031
KXBTC15M-26AUG210100-00,2026-08-21 04:59:00+00:00,0.99,0.989,0.011
KXBTC15M-26AUG210100-00,2026-08-21 05:00:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210115-15,2026-08-21 05:01:00+00:00,0.4,0.39,0.61
KXBTC15M-26AUG210115-15,2026-08-21 05:02:00+00:00,0.54,0.53,0.47
KXBTC15M-26AUG210115-15,2026-08-21 05:03:00+00:00,0.59,0.58,0.42
KXBTC15M-26AUG210115-15,2026-08-21 05:04:00+00:00,0.62,0.61,0.39
KXBTC15M-26AUG210115-15,2026-08-21 05:05:00+00:00,0.37,0.36,0.64
KXBTC15M-26AUG210115-15,2026-08-21 05:06:00+00:00,0.81,0.8,0.1999999999999999
KXBTC15M-26AUG210115-15,2026-08-21 05:07:00+00:00,0.74,0.73,0.27
KXBTC15M-26AUG210115-15,2026-08-21 05:08:00+00:00,0.8,0.79,0.2099999999999999
KXBTC15M-26AUG210115-15,2026-08-21 05:09:00+00:00,0.82,0.81,0.1899999999999999
KXBTC15M-26AUG210115-15,2026-08-21 05:10:00+00:00,0.919,0.918,0.0819999999999999
KXBTC15M-26AUG210115-15,2026-08-21 05:11:00+00:00,0.981,0.98,0.02
KXBTC15M-26AUG210115-15,2026-08-21 05:12:00+00:00,0.992,0.991,0.009
KXBTC15M-26AUG210115-15,2026-08-21 05:13:00+00:00,0.999,0.998,0.002
KXBTC15M-26AUG210115-15,2026-08-21 05:14:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210115-15,2026-08-21 05:15:00+00:00,1.0,0.999,0.001
KXBTC15M-26AUG210130-30,2026-08-21 05:16:00+00:00,0.55,0.54,0.4599999999999999
KXBTC15M-26AUG210130-30,2026-08-21 05:17:00+00:00,0.57,0.56,0.4399999999999999
KXBTC15M-26AUG210130-30,2026-08-21 05:18:00+00:00,0.64,0.63,0.37
KXBTC15M-26AUG210130-30,2026-08-21 05:19:00+00:00,0.75,0.74,0.26
KXBTC15M-26AUG210130-30,2026-08-21 05:20:00+00:00,0.66,0.65,0.35
KXBTC15M-26AUG210130-30,2026-08-21 05:21:00+00:00,0.74,0.73,0.27
KXBTC15M-26AUG210130-30,2026-08-21 05:22:00+00:00,0.72,0.71,0.29
KXBTC15M-26AUG210130-30,2026-08-21 05:23:00+00:00,0.77,0.76,0.24
KXBTC15M-26AUG210130-30,2026-08-21 05:24:00+00:00,0.6,0.59,0.41
KXBTC15M-26AUG210130-30,2026-08-21 05:25:00+00:00,0.52,0.51,0.49
KXBTC15M-26AUG210130-30,2026-08-21 05:26:00+00:00,0.23,0.22,0.78
KXBTC15M-26AUG210130-30,2026-08-21 05:27:00+00:00,0.035,0.034,0.966
KXBTC15M-26AUG210130-30,2026-08-21 05:28:00+00:00,0.043,0.041,0.959
KXBTC15M-26AUG210130-30,2026-08-21 05:29:00+00:00,0.37,0.36,0.64
KXBTC15M-26AUG210130-30,2026-08-21 05:30:00+00:00,0.001,0.0,1.0
